0,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
129,Trevor Ariza,2007-08,22,LAL,NBA,SF,24,3,18,2.3,4.4,0.524,0.2,0.6,0.333,2.1,3.8,0.556,0.548,1.7,2.5,0.683,1,2.5,3.5,1.5,1.1,0.3,0.8,1.5,6.5
130,Trevor Ariza,2008-09,23,LAL,NBA,SF,82,20,24.4,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,0.511,1.5,2.1,0.71,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2,8.9
131,Trevor Ariza,2009-10,24,HOU,NBA,SF,72,71,36.5,5.5,13.9,0.394,1.9,5.7,0.334,3.6,8.2,0.436,0.462,2.1,3.2,0.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9
132,Trevor Ariza,2010-11,25,NOH,NBA,SF,75,75,34.7,4,10.2,0.398,1.1,3.6,0.303,2.9,6.5,0.45,0.451,1.8,2.6,0.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11
133,Trevor Ariza,2011-12,26,NOH,NBA,SF,41,41,32.9,4.1,9.8,0.417,0.7,2.1,0.333,3.4,7.7,0.44,0.453,1.9,2.5,0.775,1,4.2,5.2,3.3,1.7,0.6,1.9,1.8,10.8
134,Trevor Ariza,2012-13,27,WAS,NBA,SF,56,15,26.3,3.4,8.1,0.417,1.4,3.7,0.364,2,4.3,0.463,0.501,1.4,1.7,0.821,0.8,4,4.8,2,1.3,0.4,1.5,1.3,9.5
135,Trevor Ariza,2013-14,28,WAS,NBA,SF,77,77,35.4,5.1,11.1,0.456,2.3,5.7,0.407,2.7,5.3,0.509,0.562,1.9,2.5,0.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4
136,Trevor Ariza,2014-15,29,HOU,NBA,SF,82,82,35.7,4.5,11.1,0.402,2.4,6.8,0.35,2.1,4.3,0.485,0.509,1.5,1.7,0.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8
137,Trevor Ariza,2015-16,30,HOU,NBA,SF,81,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2,0.783,0.8,3.7,4.5,2.3,2,0.3,1.4,2.2,12.7
138,Trevor Ariza,2016-17,31,HOU,NBA,SF,80,80,34.7,4.1,10,0.409,2.4,6.9,0.344,1.7,3,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7
139,Trevor Ariza,2017-18,32,HOU,NBA,SF,67,67,33.9,4,9.7,0.412,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2,11.7
140,Darrell Arthur,2008-09,20,MEM,NBA,PF,76,64,19.3,2.5,5.7,0.438,0,0,0,2.5,5.7,0.44,0.438,0.5,0.8,0.667,1.4,3.1,4.6,0.6,0.7,0.7,0.6,2.7,5.6
141,Darrell Arthur,2009-10,21,MEM,NBA,PF,32,1,14.3,2,4.6,0.432,0,0,0,2,4.5,0.434,0.432,0.5,0.9,0.567,1.2,2.3,3.4,0.5,0.4,0.4,0.7,1.9,4.5
142,Darrell Arthur,2010-11,22,MEM,NBA,PF,80,9,20.1,3.9,7.8,0.497,0,0.1,0,3.9,7.7,0.502,0.497,1.4,1.7,0.813,1.4,2.8,4.3,0.7,0.7,0.8,1.1,2.9,9.1
143,Darrell Arthur,2011-12,23,Did Not PlayÂ (injuryâ€”achilles),,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Darrell Arthur,2012-13,24,MEM,NBA,PF,59,3,16.4,2.7,6.1,0.451,0.1,0.3,0.278,2.7,5.8,0.46,0.458,0.6,0.8,0.717,1.2,1.7,2.9,0.6,0.4,0.6,0.7,2.1,6.1
145,Darrell Arthur,2013-14,25,DEN,NBA,SF,68,1,17.1,2.4,6,0.395,0.4,0.9,0.375,2,5.1,0.399,0.424,0.8,0.9,0.855,0.8,2.3,3.1,0.9,0.6,0.7,0.9,2.7,5.9
146,Darrell Arthur,2014-15,26,DEN,NBA,PF,58,4,17,2.7,6.6,0.404,0.4,1.9,0.236,2.2,4.7,0.471,0.438,0.8,1,0.78,0.9,2,2.9,1,0.8,0.4,0.8,2.5,6.6
